filename	text
fai-1-ripetizioni.mp3	fai 1 ripetizioni
fai-1-ripetizioni-destra.mp3	fai 1 ripetizioni, Destra
fai-1-ripetizioni-sinistra.mp3	fai 1 ripetizioni, Sinistra
fai-10plus-ripetizioni.mp3	fai almeno 10 ripetizioni
fai-10plus-ripetizioni-destra.mp3	fai almeno 10 ripetizioni, Destra
fai-10plus-ripetizioni-sinistra.mp3	fai almeno 10 ripetizioni, Sinistra
fai-12plus-ripetizioni.mp3	fai almeno 12 ripetizioni
fai-12plus-ripetizioni-destra.mp3	fai almeno 12 ripetizioni, Destra
fai-12plus-ripetizioni-sinistra.mp3	fai almeno 12 ripetizioni, Sinistra
fai-2-ripetizioni.mp3	fai 2 ripetizioni
fai-2-ripetizioni-destra.mp3	fai 2 ripetizioni, Destra
fai-2-ripetizioni-sinistra.mp3	fai 2 ripetizioni, Sinistra
fai-25-ripetizioni.mp3	fai 25 ripetizioni
fai-25-ripetizioni-destra.mp3	fai 25 ripetizioni, Destra
fai-25-ripetizioni-sinistra.mp3	fai 25 ripetizioni, Sinistra
fai-3-ripetizioni.mp3	fai 3 ripetizioni
fai-3-ripetizioni-destra.mp3	fai 3 ripetizioni, Destra
fai-3-ripetizioni-sinistra.mp3	fai 3 ripetizioni, Sinistra
fai-4-ripetizioni.mp3	fai 4 ripetizioni
fai-4-ripetizioni-destra.mp3	fai 4 ripetizioni, Destra
fai-4-ripetizioni-sinistra.mp3	fai 4 ripetizioni, Sinistra
fai-40-ripetizioni.mp3	fai 40 ripetizioni
fai-40-ripetizioni-destra.mp3	fai 40 ripetizioni, Destra
fai-40-ripetizioni-sinistra.mp3	fai 40 ripetizioni, Sinistra
fai-5-ripetizioni.mp3	fai 5 ripetizioni
fai-5-ripetizioni-destra.mp3	fai 5 ripetizioni, Destra
fai-5-ripetizioni-sinistra.mp3	fai 5 ripetizioni, Sinistra
fai-50-ripetizioni.mp3	fai 50 ripetizioni
fai-50-ripetizioni-destra.mp3	fai 50 ripetizioni, Destra
fai-50-ripetizioni-sinistra.mp3	fai 50 ripetizioni, Sinistra
fai-6-ripetizioni.mp3	fai 6 ripetizioni
fai-6-ripetizioni-destra.mp3	fai 6 ripetizioni, Destra
fai-6-ripetizioni-sinistra.mp3	fai 6 ripetizioni, Sinistra
fai-8plus-ripetizioni.mp3	fai almeno 8 ripetizioni
fai-8plus-ripetizioni-destra.mp3	fai almeno 8 ripetizioni, Destra
fai-8plus-ripetizioni-sinistra.mp3	fai almeno 8 ripetizioni, Sinistra
num-1.mp3	uno
num-10.mp3	dieci
num-15.mp3	quindici
num-2.mp3	due
num-20.mp3	venti
num-3.mp3	tre
num-30.mp3	trenta
num-4.mp3	quattro
num-45.mp3	quarantacinque
num-5.mp3	cinque
num-50.mp3	cinquanta
num-6.mp3	sei
num-60.mp3	sessanta
num-7.mp3	sette
num-8.mp3	otto
num-9.mp3	nove
